2026-03-17T20:00:43.318128 | frame=91 | x=369 y=239 | area=1072
2026-03-17T20:00:43.847671 | frame=92 | x=369 y=239 | area=1067
2026-03-17T20:00:44.350658 | frame=92 | x=369 y=239 | area=1067
2026-03-17T20:00:44.881312 | frame=5 | x=368 y=225 | area=535
2026-03-17T20:00:45.382426 | frame=5 | x=368 y=225 | area=535
2026-03-17T20:00:45.909108 | frame=78 | x=355 y=220 | area=981
2026-03-17T20:00:46.411233 | frame=78 | x=355 y=220 | area=981
2026-03-17T20:00:46.939021 | frame=79 | x=357 y=236 | area=818
2026-03-17T20:00:47.443377 | frame=79 | x=357 y=236 | area=818
2026-03-17T20:00:47.974022 | frame=80 | x=358 y=241 | area=507
2026-03-17T20:00:48.477133 | frame=80 | x=358 y=241 | area=507
2026-03-17T20:00:49.002135 | frame=84 | x=362 y=236 | area=551
2026-03-17T20:00:49.506251 | frame=84 | x=362 y=236 | area=551
2026-03-17T20:00:50.033228 | frame=86 | x=358 y=238 | area=516
2026-03-17T20:00:50.537707 | frame=86 | x=358 y=238 | area=516
2026-03-17T20:00:51.064066 | frame=87 | x=357 y=223 | area=759
2026-03-17T20:00:51.568532 | frame=87 | x=357 y=223 | area=759
2026-03-17T20:00:52.098238 | frame=98 | x=336 y=229 | area=622
2026-03-17T20:00:52.603780 | frame=98 | x=336 y=229 | area=622
2026-03-17T20:00:53.134426 | frame=99 | x=336 y=242 | area=837
2026-03-17T20:00:53.639625 | frame=99 | x=336 y=242 | area=837
2026-03-17T20:00:54.166957 | frame=100 | x=338 y=233 | area=716
2026-03-17T20:00:54.672369 | frame=100 | x=338 y=233 | area=716
2026-03-17T20:00:55.201530 | frame=101 | x=340 y=238 | area=620
2026-03-17T20:00:55.707154 | frame=101 | x=340 y=238 | area=620
2026-03-17T20:00:56.237317 | frame=102 | x=319 y=241 | area=874
2026-03-17T20:00:56.742692 | frame=102 | x=319 y=241 | area=874
2026-03-17T20:00:57.272500 | frame=103 | x=348 y=226 | area=866
2026-03-17T20:00:57.777573 | frame=103 | x=348 y=226 | area=866
2026-03-17T20:00:58.305328 | frame=104 | x=350 y=244 | area=591
2026-03-17T20:00:58.810683 | frame=104 | x=350 y=244 | area=591
2026-03-17T20:00:59.336838 | frame=109 | x=345 y=246 | area=611
2026-03-17T20:00:59.841962 | frame=109 | x=345 y=246 | area=611
2026-03-17T20:01:00.369127 | frame=110 | x=345 y=244 | area=513
2026-03-17T20:01:00.872935 | frame=110 | x=345 y=244 | area=513
2026-03-17T20:01:01.402210 | frame=69 | x=353 y=256 | area=587
2026-03-17T20:01:01.905340 | frame=69 | x=353 y=256 | area=587
2026-03-17T20:01:02.429293 | frame=87 | x=351 y=253 | area=565
2026-03-17T20:01:02.933288 | frame=87 | x=351 y=253 | area=565
2026-03-17T20:01:03.460858 | frame=66 | x=370 y=263 | area=873
2026-03-17T20:01:03.962009 | frame=66 | x=370 y=263 | area=873
2026-03-17T20:01:04.489632 | frame=80 | x=376 y=312 | area=1278
2026-03-17T20:01:04.990270 | frame=80 | x=376 y=312 | area=1278
2026-03-17T20:01:05.518419 | frame=81 | x=365 y=287 | area=1111
2026-03-17T20:01:06.019257 | frame=81 | x=365 y=287 | area=1111
2026-03-17T20:01:06.545913 | frame=93 | x=363 y=285 | area=1141
2026-03-17T20:01:07.050346 | frame=93 | x=363 y=285 | area=1141
2026-03-17T20:01:07.574502 | frame=104 | x=367 y=288 | area=1244
2026-03-17T20:01:08.076704 | frame=104 | x=367 y=288 | area=1244
