2026-03-18 13:09:11,817 [INFO] processor: Process state registered: processor
2026-03-18 13:09:11,817 [INFO] processor: ProcessorProcess initializing...
2026-03-18 17:20:37,865 [INFO] processor: Registered 8 command(s) with router: ['get_metrics', 'get_metric', 'reset_metrics', 'stats_snapshot', 'flush_stats', 'set_color_range', 'set_min_area', 'set_max_area']
2026-03-18 17:20:37,865 [INFO] processor: Process 'processor' initialized successfully
2026-03-18 17:20:43,886 [INFO] processor: Color range set: lower=[0, 0, 146], upper=[100, 100, 255]
2026-03-18 17:20:43,926 [INFO] processor: Color range set: lower=[0, 0, 143], upper=[100, 100, 255]
2026-03-18 17:20:43,926 [INFO] processor: Color range set: lower=[0, 0, 139], upper=[100, 100, 255]
2026-03-18 17:20:43,926 [INFO] processor: Color range set: lower=[0, 0, 135], upper=[100, 100, 255]
2026-03-18 17:20:43,955 [INFO] processor: Color range set: lower=[0, 0, 128], upper=[100, 100, 255]
2026-03-18 17:20:43,955 [INFO] processor: Color range set: lower=[0, 0, 124], upper=[100, 100, 255]
2026-03-18 17:20:43,955 [INFO] processor: Color range set: lower=[0, 0, 116], upper=[100, 100, 255]
2026-03-18 17:20:43,956 [INFO] processor: Color range set: lower=[0, 0, 113], upper=[100, 100, 255]
2026-03-18 17:20:43,956 [INFO] processor: Color range set: lower=[0, 0, 105], upper=[100, 100, 255]
2026-03-18 17:20:43,956 [INFO] processor: Color range set: lower=[0, 0, 101], upper=[100, 100, 255]
2026-03-18 17:20:43,956 [INFO] processor: Color range set: lower=[0, 0, 94], upper=[100, 100, 255]
2026-03-18 17:20:43,956 [INFO] processor: Color range set: lower=[0, 0, 90], upper=[100, 100, 255]
2026-03-18 17:20:44,956 [INFO] processor: Color range set: lower=[0, 0, 86], upper=[100, 100, 255]
2026-03-18 17:20:44,957 [INFO] processor: Color range set: lower=[0, 0, 83], upper=[100, 100, 255]
2026-03-18 17:20:44,957 [INFO] processor: Color range set: lower=[0, 0, 75], upper=[100, 100, 255]
2026-03-18 17:20:44,957 [INFO] processor: Color range set: lower=[0, 0, 71], upper=[100, 100, 255]
2026-03-18 17:20:44,958 [INFO] processor: Color range set: lower=[0, 0, 68], upper=[100, 100, 255]
2026-03-18 17:20:44,958 [INFO] processor: Color range set: lower=[0, 0, 64], upper=[100, 100, 255]
2026-03-18 17:20:44,958 [INFO] processor: Color range set: lower=[0, 0, 60], upper=[100, 100, 255]
2026-03-18 17:20:44,958 [INFO] processor: Color range set: lower=[0, 0, 56], upper=[100, 100, 255]
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 53], upper=[100, 100, 255]
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 49], upper=[100, 100, 255]
2026-03-18 17:20:44,959 [INFO] processor: Color range set: lower=[0, 0, 45], upper=[100, 100, 255]
